FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
27332110	_Veal_stew_with_potatoes_and_vegetables_excluding_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Veal stew with potatoes and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27332110.0
27335100	Rabbit_stew_with_potatoes_and_vegetables	Yes	No	0	Rabbit stew with potatoes and vegetables	27335100.0
27335500	Stewed_rabbit_Puerto_Rican_style_	Yes	No	0	Stewed rabbit, Puerto Rican style,	27335500.0
27336100	_Venison_or_deer_stew_with_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27336100.0
27336150	_Venison_or_deer_stew_with_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Venison or deer stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27336150.0
27336200	_Venison_or_deer_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27336200.0
27336250	_Venison_or_deer_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27336250.0
27336300	_Venison_or_deer_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27336300.0
27336310	_Venison_or_deer_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27336310.0
27341000	Chicken_or_turkey_potatoes_corn_and_cheese_with_gravy	Yes	No	0	Chicken or turkey, potatoes, corn, and cheese, with gravy	27341000.0
27341010	_Chicken_or_turkey_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_sauce_	Yes	No	0	"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"	27341010.0
27341020	_Chicken_or_turkey_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_	Yes	No	0	"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"	27341020.0
27341025	_Chicken_or_turkey_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27341025.0
27341030	_Chicken_or_turkey_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27341030.0
